epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.41549,0.99096,0.51923,1,0.91074,0.00041441,0.00041441,0.00041441
2,10.6974,0.73184,0.77564,1,0.54243,0.00083985,0.00083985,0.00083985
3,13.5181,0.56362,0.83333,1,0.45835,0.00126197,0.00126197,0.00126197
4,16.2588,0.47434,0.83333,1,0.5271,0.00141242,0.00141242,0.00141242
5,18.9935,0.52848,0.76282,1,0.62393,0.0014069,0.0014069,0.0014069
6,21.6335,0.45985,0.8141,1,0.57725,0.00140137,0.00140137,0.00140137
7,24.1974,0.47928,0.78205,1,0.70908,0.00139584,0.00139584,0.00139584
8,26.6716,0.41985,0.77564,1,0.8896,0.00139032,0.00139032,0.00139032
9,29.1584,0.49231,0.78846,1,0.6553,0.00138479,0.00138479,0.00138479
10,31.7826,0.43147,0.76282,1,0.91953,0.00137926,0.00137926,0.00137926
11,34.2938,0.37477,0.82692,1,0.66962,0.00137374,0.00137374,0.00137374
12,36.769,0.38895,0.80128,1,0.57607,0.00136821,0.00136821,0.00136821
13,39.2466,0.34916,0.78205,1,0.70322,0.00136269,0.00136269,0.00136269
14,41.7037,0.34888,0.82051,1,0.75947,0.00135716,0.00135716,0.00135716
15,44.1286,0.32796,0.82692,1,0.59172,0.00135163,0.00135163,0.00135163
16,46.6009,0.30642,0.80769,1,0.51865,0.00134611,0.00134611,0.00134611
17,49.0249,0.31376,0.83974,1,0.60684,0.00134058,0.00134058,0.00134058
18,51.7269,0.33256,0.83974,1,0.577,0.00133505,0.00133505,0.00133505
19,54.5209,0.26091,0.82692,1,0.59438,0.00132953,0.00132953,0.00132953
20,56.9675,0.24464,0.82051,1,0.65525,0.001324,0.001324,0.001324
21,59.4434,0.29484,0.83974,1,0.52913,0.00131848,0.00131848,0.00131848
22,62.2259,0.26177,0.87179,1,0.75425,0.00131295,0.00131295,0.00131295
23,65.0622,0.26081,0.80769,1,0.94307,0.00130742,0.00130742,0.00130742
24,67.5183,0.238,0.80769,1,0.66172,0.0013019,0.0013019,0.0013019
25,70.009,0.21713,0.80769,1,0.61272,0.00129637,0.00129637,0.00129637
26,72.5847,0.21716,0.84615,1,0.68452,0.00129084,0.00129084,0.00129084
27,75.1043,0.22463,0.80128,1,0.71445,0.00128532,0.00128532,0.00128532
28,77.521,0.24002,0.82051,1,0.70264,0.00127979,0.00127979,0.00127979
29,79.99,0.25879,0.83333,1,0.57329,0.00127427,0.00127427,0.00127427
30,82.5813,0.26019,0.84615,1,0.61763,0.00126874,0.00126874,0.00126874
31,85.1068,0.25924,0.80128,1,0.77798,0.00126321,0.00126321,0.00126321
32,87.5758,0.21804,0.79487,1,0.59902,0.00125769,0.00125769,0.00125769
33,90.033,0.22868,0.8141,1,0.68457,0.00125216,0.00125216,0.00125216
34,92.5848,0.16803,0.83974,1,0.55161,0.00124664,0.00124664,0.00124664
35,95.1536,0.17185,0.84615,1,0.62393,0.00124111,0.00124111,0.00124111
36,97.6318,0.13948,0.84615,1,0.6438,0.00123558,0.00123558,0.00123558
37,100.111,0.14237,0.85897,1,0.59468,0.00123006,0.00123006,0.00123006
38,102.6,0.12065,0.86538,1,0.50632,0.00122453,0.00122453,0.00122453
39,105.042,0.14675,0.84615,1,0.62402,0.001219,0.001219,0.001219
40,107.584,0.19489,0.82692,1,0.67417,0.00121348,0.00121348,0.00121348
41,110.001,0.14627,0.86538,1,0.61499,0.00120795,0.00120795,0.00120795
42,112.489,0.16069,0.82051,1,0.84656,0.00120243,0.00120243,0.00120243
43,114.96,0.18364,0.84615,1,0.50039,0.0011969,0.0011969,0.0011969
44,117.456,0.17817,0.85256,1,0.6395,0.00119137,0.00119137,0.00119137
45,119.877,0.16909,0.83333,1,0.48381,0.00118585,0.00118585,0.00118585
46,122.416,0.18156,0.82692,1,0.61826,0.00118032,0.00118032,0.00118032
47,124.867,0.16057,0.84615,1,0.53005,0.00117479,0.00117479,0.00117479
48,127.341,0.17297,0.86538,1,0.54563,0.00116927,0.00116927,0.00116927
49,129.767,0.14591,0.85897,1,0.573,0.00116374,0.00116374,0.00116374
50,132.278,0.13752,0.86538,1,0.68867,0.00115822,0.00115822,0.00115822
51,134.981,0.11713,0.85256,1,0.60596,0.00115269,0.00115269,0.00115269
52,137.299,0.11352,0.83974,1,0.771,0.00114716,0.00114716,0.00114716
53,139.753,0.12344,0.82051,1,0.86172,0.00114164,0.00114164,0.00114164
54,142.273,0.10716,0.85256,1,0.60498,0.00113611,0.00113611,0.00113611
55,144.699,0.11452,0.85256,1,0.63298,0.00113058,0.00113058,0.00113058
56,147.2,0.14691,0.85256,1,0.57012,0.00112506,0.00112506,0.00112506
57,149.601,0.13878,0.87821,1,0.51016,0.00111953,0.00111953,0.00111953
58,152.35,0.11964,0.84615,1,0.48972,0.00111401,0.00111401,0.00111401
59,154.83,0.15044,0.82692,1,0.65771,0.00110848,0.00110848,0.00110848
60,157.251,0.15789,0.80128,1,0.92681,0.00110295,0.00110295,0.00110295
61,159.531,0.09949,0.82692,1,0.7958,0.00109743,0.00109743,0.00109743
62,161.814,0.17043,0.84615,1,0.64326,0.0010919,0.0010919,0.0010919
63,164.063,0.13586,0.82051,1,0.58218,0.00108637,0.00108637,0.00108637
64,166.413,0.08333,0.83333,1,0.74087,0.00108085,0.00108085,0.00108085
65,168.676,0.27205,0.82692,1,0.77119,0.00107532,0.00107532,0.00107532
66,171.045,0.13586,0.82692,1,0.82275,0.0010698,0.0010698,0.0010698
67,173.365,0.14735,0.82692,1,0.93774,0.00106427,0.00106427,0.00106427
68,175.78,0.13178,0.8141,1,0.89609,0.00105874,0.00105874,0.00105874
69,178.081,0.14309,0.80128,1,0.70439,0.00105322,0.00105322,0.00105322
70,180.347,0.14495,0.82692,1,0.67725,0.00104769,0.00104769,0.00104769
71,182.579,0.12465,0.83333,1,0.7123,0.00104217,0.00104217,0.00104217
72,184.811,0.13192,0.83333,1,0.81377,0.00103664,0.00103664,0.00103664
73,187.149,0.11418,0.82051,1,0.71787,0.00103111,0.00103111,0.00103111
74,189.401,0.10737,0.82692,1,0.73584,0.00102559,0.00102559,0.00102559
75,191.633,0.16578,0.8141,1,0.95703,0.00102006,0.00102006,0.00102006
76,193.858,0.14435,0.8141,1,0.78652,0.00101453,0.00101453,0.00101453
77,196.116,0.12875,0.82051,1,1.13223,0.00100901,0.00100901,0.00100901
78,198.38,0.08196,0.84615,1,0.91704,0.00100348,0.00100348,0.00100348
79,200.618,0.11617,0.85897,1,0.88032,0.000997956,0.000997956,0.000997956
80,202.836,0.11156,0.84615,1,0.82129,0.000992429,0.000992429,0.000992429
81,205.132,0.14507,0.83333,1,0.86416,0.000986903,0.000986903,0.000986903
82,207.583,0.14169,0.83333,1,0.88899,0.000981377,0.000981377,0.000981377
83,209.938,0.09499,0.83974,1,0.78267,0.000975851,0.000975851,0.000975851
84,212.263,0.10085,0.84615,1,0.97109,0.000970324,0.000970324,0.000970324
85,214.571,0.08906,0.82692,1,0.89575,0.000964798,0.000964798,0.000964798
86,216.802,0.09727,0.84615,1,0.84771,0.000959272,0.000959272,0.000959272
87,219.081,0.16819,0.85256,1,0.82441,0.000953746,0.000953746,0.000953746
88,221.325,0.09441,0.84615,1,0.73535,0.00094822,0.00094822,0.00094822
89,223.554,0.14691,0.84615,1,0.78027,0.000942693,0.000942693,0.000942693
90,225.786,0.06946,0.83974,1,0.87417,0.000937167,0.000937167,0.000937167
91,228.058,0.10053,0.83974,1,0.78423,0.000931641,0.000931641,0.000931641
92,230.385,0.1299,0.83333,1,0.82302,0.000926115,0.000926115,0.000926115
93,232.703,0.14056,0.83974,1,0.64133,0.000920589,0.000920589,0.000920589
94,235.022,0.08702,0.86538,1,0.74553,0.000915062,0.000915062,0.000915062
95,237.27,0.05957,0.85897,1,0.80674,0.000909536,0.000909536,0.000909536
96,239.497,0.07293,0.86538,1,0.79814,0.00090401,0.00090401,0.00090401
97,241.72,0.09645,0.85897,1,0.81958,0.000898484,0.000898484,0.000898484
98,243.997,0.10853,0.84615,1,0.8272,0.000892958,0.000892958,0.000892958
99,246.3,0.04058,0.8141,1,0.91067,0.000887431,0.000887431,0.000887431
100,248.552,0.08011,0.83333,1,0.95737,0.000881905,0.000881905,0.000881905
101,250.802,0.08039,0.83333,1,0.8177,0.000876379,0.000876379,0.000876379
102,253.083,0.05757,0.80769,1,0.97324,0.000870853,0.000870853,0.000870853
103,255.322,0.08669,0.82051,1,0.89736,0.000865326,0.000865326,0.000865326
104,257.566,0.11303,0.80128,1,0.95391,0.0008598,0.0008598,0.0008598
105,259.866,0.08113,0.83333,1,0.68713,0.000854274,0.000854274,0.000854274
106,262.15,0.0569,0.83974,1,0.70812,0.000848748,0.000848748,0.000848748
107,264.394,0.08,0.83333,1,0.84597,0.000843222,0.000843222,0.000843222
108,266.618,0.05902,0.83974,1,0.77065,0.000837695,0.000837695,0.000837695
109,268.835,0.04593,0.82051,1,0.84863,0.000832169,0.000832169,0.000832169
110,271.085,0.08261,0.83333,1,0.72764,0.000826643,0.000826643,0.000826643
111,273.335,0.06713,0.85256,1,0.7541,0.000821117,0.000821117,0.000821117
112,275.65,0.04428,0.87179,1,0.66611,0.000815591,0.000815591,0.000815591
113,277.919,0.083,0.84615,1,0.62744,0.000810064,0.000810064,0.000810064
114,280.165,0.04847,0.86538,1,0.65034,0.000804538,0.000804538,0.000804538
115,282.417,0.06452,0.87821,1,0.59287,0.000799012,0.000799012,0.000799012
116,284.847,0.0939,0.82692,1,0.8542,0.000793486,0.000793486,0.000793486
117,287.094,0.09096,0.85256,1,0.80908,0.00078796,0.00078796,0.00078796
118,289.425,0.06745,0.83974,1,0.96768,0.000782433,0.000782433,0.000782433
119,291.704,0.08542,0.84615,1,0.88398,0.000776907,0.000776907,0.000776907
120,294.048,0.07328,0.85897,1,0.79185,0.000771381,0.000771381,0.000771381
121,296.325,0.07469,0.87179,1,0.85415,0.000765855,0.000765855,0.000765855
122,298.555,0.07009,0.88462,1,0.70537,0.000760328,0.000760328,0.000760328
123,300.988,0.08039,0.85256,1,0.93867,0.000754802,0.000754802,0.000754802
124,303.319,0.06415,0.83333,1,1.03738,0.000749276,0.000749276,0.000749276
125,305.559,0.07397,0.85256,1,0.92754,0.00074375,0.00074375,0.00074375
126,307.816,0.05024,0.85256,1,0.89287,0.000738224,0.000738224,0.000738224
127,310.052,0.0539,0.85897,1,0.82305,0.000732697,0.000732697,0.000732697
128,312.319,0.06318,0.87179,1,0.87124,0.000727171,0.000727171,0.000727171
129,314.554,0.0566,0.88462,1,0.76113,0.000721645,0.000721645,0.000721645
130,317.075,0.05644,0.87821,1,0.77041,0.000716119,0.000716119,0.000716119
131,319.319,0.06683,0.8141,1,1.05078,0.000710593,0.000710593,0.000710593
132,321.555,0.06192,0.88462,1,0.78401,0.000705066,0.000705066,0.000705066
133,323.993,0.08346,0.87821,1,0.90001,0.00069954,0.00069954,0.00069954
134,326.234,0.05482,0.89103,1,0.63076,0.000694014,0.000694014,0.000694014
135,328.771,0.10117,0.87179,1,0.73945,0.000688488,0.000688488,0.000688488
136,331.004,0.10426,0.87821,1,0.72143,0.000682962,0.000682962,0.000682962
137,333.239,0.06412,0.85256,1,0.95791,0.000677435,0.000677435,0.000677435
138,335.529,0.10176,0.87821,1,0.87344,0.000671909,0.000671909,0.000671909
139,337.842,0.1001,0.84615,1,1.04536,0.000666383,0.000666383,0.000666383
140,340.104,0.0695,0.83333,1,1.26816,0.000660857,0.000660857,0.000660857
141,342.428,0.09464,0.82692,1,1.20977,0.00065533,0.00065533,0.00065533
142,344.67,0.06743,0.87179,1,0.93545,0.000649804,0.000649804,0.000649804
143,346.898,0.08959,0.82051,1,1.20449,0.000644278,0.000644278,0.000644278
144,349.147,0.07242,0.83974,1,1.09385,0.000638752,0.000638752,0.000638752
145,351.394,0.12635,0.85256,1,1.03477,0.000633226,0.000633226,0.000633226
146,353.65,0.06698,0.80128,1,1.0833,0.000627699,0.000627699,0.000627699
147,355.864,0.05006,0.80128,1,1.13809,0.000622173,0.000622173,0.000622173
148,358.118,0.063,0.80769,1,1.2042,0.000616647,0.000616647,0.000616647
149,360.369,0.08415,0.83333,1,0.95833,0.000611121,0.000611121,0.000611121
150,362.601,0.03845,0.82051,1,0.94834,0.000605595,0.000605595,0.000605595
151,364.839,0.04772,0.83333,1,0.94287,0.000600068,0.000600068,0.000600068
152,367.089,0.04464,0.8141,1,0.99204,0.000594542,0.000594542,0.000594542
153,369.368,0.03047,0.79487,1,0.99912,0.000589016,0.000589016,0.000589016
154,371.708,0.04868,0.82692,1,0.96904,0.00058349,0.00058349,0.00058349
155,374.016,0.05089,0.82692,1,0.98601,0.000577964,0.000577964,0.000577964
156,376.322,0.03467,0.82051,1,1.0209,0.000572437,0.000572437,0.000572437
157,378.599,0.04585,0.82051,1,0.98018,0.000566911,0.000566911,0.000566911
158,380.907,0.06348,0.83333,1,1.00986,0.000561385,0.000561385,0.000561385
159,383.186,0.04682,0.85256,1,0.92124,0.000555859,0.000555859,0.000555859
160,385.487,0.05712,0.85256,1,0.90057,0.000550332,0.000550332,0.000550332
161,387.789,0.051,0.85897,1,0.92039,0.000544806,0.000544806,0.000544806
162,391.37,0.0423,0.84615,1,0.97451,0.00053928,0.00053928,0.00053928
163,393.67,0.04928,0.84615,1,1.01572,0.000533754,0.000533754,0.000533754
164,395.969,0.02426,0.85256,1,1.03809,0.000528228,0.000528228,0.000528228
165,399.161,0.04901,0.85897,1,1.13574,0.000522701,0.000522701,0.000522701
166,401.482,0.0298,0.85897,1,1.08854,0.000517175,0.000517175,0.000517175
167,403.752,0.03453,0.85897,1,1.04224,0.000511649,0.000511649,0.000511649
168,406.036,0.05019,0.85897,1,1.10518,0.000506123,0.000506123,0.000506123
169,408.341,0.0225,0.85256,1,1.06514,0.000500597,0.000500597,0.000500597
170,410.642,0.03476,0.84615,1,1.02737,0.00049507,0.00049507,0.00049507
171,412.936,0.04031,0.83974,1,1.07139,0.000489544,0.000489544,0.000489544
172,415.257,0.01638,0.83974,1,0.95566,0.000484018,0.000484018,0.000484018
173,417.571,0.03274,0.83333,1,0.99598,0.000478492,0.000478492,0.000478492
174,419.872,0.04044,0.85897,1,0.97454,0.000472966,0.000472966,0.000472966
175,422.172,0.03646,0.85897,1,0.92861,0.000467439,0.000467439,0.000467439
176,424.476,0.09535,0.85256,1,1.0665,0.000461913,0.000461913,0.000461913
177,426.784,0.03968,0.84615,1,1.06387,0.000456387,0.000456387,0.000456387
178,429.073,0.04189,0.85897,1,0.99678,0.000450861,0.000450861,0.000450861
179,431.372,0.03817,0.86538,1,1.07373,0.000445334,0.000445334,0.000445334
180,433.669,0.04611,0.84615,1,1.1147,0.000439808,0.000439808,0.000439808
181,435.988,0.05037,0.84615,1,1.18032,0.000434282,0.000434282,0.000434282
182,438.296,0.0282,0.85256,1,1.04998,0.000428756,0.000428756,0.000428756
183,440.636,0.04822,0.86538,1,0.99746,0.00042323,0.00042323,0.00042323
184,442.971,0.03991,0.84615,1,1.05269,0.000417703,0.000417703,0.000417703
185,445.272,0.0315,0.84615,1,1.08552,0.000412177,0.000412177,0.000412177
186,447.571,0.02549,0.84615,1,1.10044,0.000406651,0.000406651,0.000406651
187,449.839,0.05276,0.83974,1,1.15034,0.000401125,0.000401125,0.000401125
188,452.14,0.05326,0.8141,1,1.24614,0.000395599,0.000395599,0.000395599
189,454.464,0.03593,0.85897,1,1.02852,0.000390072,0.000390072,0.000390072
190,456.759,0.02379,0.85897,1,0.93936,0.000384546,0.000384546,0.000384546
191,459.114,0.05888,0.86538,1,1.03145,0.00037902,0.00037902,0.00037902
192,461.517,0.05622,0.87179,1,1.08486,0.000373494,0.000373494,0.000373494
193,463.817,0.02943,0.86538,1,1.05029,0.000367967,0.000367967,0.000367967
194,466.103,0.03165,0.84615,1,1.10693,0.000362441,0.000362441,0.000362441
195,468.454,0.03418,0.82692,1,1.11973,0.000356915,0.000356915,0.000356915
196,470.805,0.02948,0.8141,1,1.17217,0.000351389,0.000351389,0.000351389
197,473.108,0.04723,0.8141,1,1.12632,0.000345863,0.000345863,0.000345863
198,475.404,0.04717,0.80769,1,1.22451,0.000340336,0.000340336,0.000340336
199,477.692,0.03265,0.80128,1,1.30352,0.00033481,0.00033481,0.00033481
200,479.986,0.02786,0.80769,1,1.36689,0.000329284,0.000329284,0.000329284
201,482.256,0.02409,0.82051,1,1.29224,0.000323758,0.000323758,0.000323758
202,484.555,0.04234,0.80769,1,1.24912,0.000318232,0.000318232,0.000318232
203,486.85,0.02984,0.82051,1,1.17422,0.000312705,0.000312705,0.000312705
204,489.239,0.05944,0.82051,1,1.2115,0.000307179,0.000307179,0.000307179
205,491.525,0.02296,0.82051,1,1.18,0.000301653,0.000301653,0.000301653
206,493.812,0.03275,0.83333,1,1.18311,0.000296127,0.000296127,0.000296127
207,496.106,0.04591,0.83974,1,1.1625,0.000290601,0.000290601,0.000290601
208,498.456,0.03449,0.83974,1,1.04302,0.000285074,0.000285074,0.000285074
209,500.723,0.03116,0.83333,1,0.99027,0.000279548,0.000279548,0.000279548
210,503.009,0.03895,0.84615,1,1.00977,0.000274022,0.000274022,0.000274022
211,505.286,0.0351,0.83974,1,0.99609,0.000268496,0.000268496,0.000268496
212,507.585,0.02656,0.83974,1,1.03871,0.000262969,0.000262969,0.000262969
213,509.856,0.02191,0.83333,1,0.97314,0.000257443,0.000257443,0.000257443
214,512.152,0.03907,0.85897,1,0.94092,0.000251917,0.000251917,0.000251917
215,514.474,0.01677,0.86538,1,0.89302,0.000246391,0.000246391,0.000246391
216,516.77,0.02391,0.86538,1,0.88569,0.000240865,0.000240865,0.000240865
217,519.054,0.01996,0.85897,1,0.81479,0.000235338,0.000235338,0.000235338
218,521.391,0.02097,0.85897,1,0.87646,0.000229812,0.000229812,0.000229812
219,523.709,0.03368,0.85256,1,0.9166,0.000224286,0.000224286,0.000224286
220,526.022,0.02665,0.86538,1,0.94906,0.00021876,0.00021876,0.00021876
221,528.307,0.02304,0.87179,1,0.94885,0.000213234,0.000213234,0.000213234
222,530.623,0.02589,0.85897,1,0.99307,0.000207707,0.000207707,0.000207707
223,532.937,0.02966,0.87179,1,0.99854,0.000202181,0.000202181,0.000202181
224,535.24,0.03075,0.87179,1,0.99794,0.000196655,0.000196655,0.000196655
225,537.522,0.02201,0.86538,1,1.0001,0.000191129,0.000191129,0.000191129
226,539.816,0.02995,0.86538,1,0.94858,0.000185603,0.000185603,0.000185603
227,542.102,0.01986,0.85256,1,0.98861,0.000180076,0.000180076,0.000180076
228,544.402,0.03141,0.85897,1,0.99932,0.00017455,0.00017455,0.00017455
229,546.746,0.03694,0.85897,1,0.96348,0.000169024,0.000169024,0.000169024
230,549.02,0.02329,0.85897,1,0.93047,0.000163498,0.000163498,0.000163498
231,551.31,0.03354,0.86538,1,0.88086,0.000157971,0.000157971,0.000157971
232,553.594,0.0213,0.86538,1,0.8491,0.000152445,0.000152445,0.000152445
233,555.876,0.02863,0.87179,1,0.84683,0.000146919,0.000146919,0.000146919
234,558.164,0.01278,0.87179,1,0.91708,0.000141393,0.000141393,0.000141393
